State,Date,Value
DC,1/31/2020,92.50%
DC,2/29/2020,93.30%
DC,3/31/2020,97.10%
DC,4/30/2020,62.60%
DC,5/31/2020,51.40%
DC,6/30/2020,49.80%
DC,7/31/2020,47.10%
DC,8/31/2020,34.90%
DC,9/30/2020,31.10%
DC,10/31/2020,36.40%
DC,11/30/2020,35.20%
DC,12/31/2020,42.80%
DC,1/31/2021,41.40%
DC,2/28/2021,29.20%
DC,3/31/2021,36.90%
DC,4/30/2021,62.40%
DC,5/31/2021,47.30%
DC,6/30/2021,55.60%
DC,7/31/2021,52.30%
DC,8/31/2021,42.10%
DC,9/30/2021,43.50%
DC,10/31/2021,61.50%
DC,11/30/2021,77.80%
DC,12/31/2021,54.40%
DC,1/31/2022,64.00%
DC,2/28/2022,34.60%
DC,3/31/2022,62.40%
DC,4/30/2022,39.90%
DC,5/31/2022,38.60%
DC,6/30/2022,31.30%
DC,7/31/2022,52.30%
DC,8/31/2022,48.20%
DC,9/30/2022,39.80%
DC,10/31/2022,21.70%
DC,11/30/2022,43.20%
DC,12/31/2022,49.30%
DC,1/31/2023,56.50%
DC,2/28/2023,46.10%
DC,3/31/2023,32.60%
DC,4/30/2023,32.90%
DC,5/31/2023,52.00%
DC,6/30/2023,55.90%
DC,7/31/2023,66.10%
DC,8/31/2023,61.70%
DC,9/30/2023,63.40%
DC,10/31/2023,68.90%
DC,11/30/2023,65.20%
DC,12/31/2023,70.10%
DC,1/31/2024,71.70%
DC,2/29/2024,81.80%
DC,3/31/2024,30.60%
DC,4/30/2024,37.50%
DC,5/31/2024,53.20%
DC,6/30/2024,60.50%
DC,7/31/2024,63.20%
DC,8/31/2024,63.60%
DC,9/30/2024,61.40%
DC,10/31/2024,67.10%
DC,11/30/2024,50.60%
DC,12/31/2024,53.30%
DC,1/31/2025,73.00%
DC,2/28/2025,82.20%
DC,3/31/2025,64.50%
DC,4/30/2025,57.60%
DC,5/31/2025,63.30%
DC,6/30/2025,70.30%
DC,7/31/2025,78.70%
DE,1/31/2020,92.90%
DE,2/29/2020,88.10%
DE,3/31/2020,98.70%
DE,4/30/2020,95.20%
DE,5/31/2020,71.00%
DE,6/30/2020,61.10%
DE,7/31/2020,56.70%
DE,8/31/2020,48.90%
DE,9/30/2020,48.30%
DE,10/31/2020,37.90%
DE,11/30/2020,51.80%
DE,12/31/2020,56.00%
DE,1/31/2021,67.10%
DE,2/28/2021,59.30%
DE,3/31/2021,48.50%
DE,4/30/2021,76.30%
DE,5/31/2021,82.80%
DE,6/30/2021,81.10%
DE,7/31/2021,36.20%
DE,8/31/2021,31.10%
DE,9/30/2021,31.30%
DE,10/31/2021,26.10%
DE,11/30/2021,27.80%
DE,12/31/2021,36.80%
DE,1/31/2022,58.40%
DE,2/28/2022,37.80%
DE,3/31/2022,27.70%
DE,4/30/2022,36.20%
DE,5/31/2022,51.10%
DE,6/30/2022,53.50%
DE,7/31/2022,63.70%
DE,8/31/2022,60.00%
DE,9/30/2022,51.40%
DE,10/31/2022,53.80%
DE,11/30/2022,64.10%
DE,12/31/2022,64.30%
DE,1/31/2023,72.30%
DE,2/28/2023,60.20%
DE,3/31/2023,55.00%
DE,4/30/2023,63.00%
DE,5/31/2023,61.50%
DE,6/30/2023,78.40%
DE,7/31/2023,76.90%
DE,8/31/2023,68.70%
DE,9/30/2023,57.00%
DE,10/31/2023,66.50%
DE,11/30/2023,74.70%
DE,12/31/2023,71.90%
DE,1/31/2024,73.80%
DE,2/29/2024,65.50%
DE,3/31/2024,47.70%
DE,4/30/2024,44.80%
DE,5/31/2024,48.20%
DE,6/30/2024,52.60%
DE,7/31/2024,58.80%
DE,8/31/2024,55.80%
DE,9/30/2024,42.70%
DE,10/31/2024,41.70%
DE,11/30/2024,45.80%
DE,12/31/2024,64.10%
DE,1/31/2025,71.00%
DE,2/28/2025,54.90%
DE,3/31/2025,44.90%
DE,4/30/2025,43.10%
DE,5/31/2025,42.30%
DE,6/30/2025,53.30%
DE,7/31/2025,60.60%
DE,8/31/2025,48.30%
MD,1/31/2020,92.70%
MD,2/29/2020,88.70%
MD,3/31/2020,97.40%
MD,4/30/2020,89.90%
MD,5/31/2020,29.80%
MD,6/30/2020,14.10%
MD,7/31/2020,23.40%
MD,8/31/2020,35.40%
MD,9/30/2020,42.70%
MD,10/31/2020,27.90%
MD,11/30/2020,54.70%
MD,12/31/2020,37.50%
MD,1/31/2021,64.30%
MD,2/28/2021,49.50%
MD,3/31/2021,30.20%
MD,4/30/2021,53.60%
MD,5/31/2021,64.60%
MD,6/30/2021,71.40%
MD,7/31/2021,51.10%
MD,8/31/2021,34.90%
MD,9/30/2021,43.90%
MD,10/31/2021,22.40%
MD,11/30/2021,24.10%
MD,12/31/2021,27.60%
MD,1/31/2022,42.70%
MD,2/28/2022,37.60%
MD,3/31/2022,32.70%
MD,4/30/2022,47.90%
MD,5/31/2022,34.20%
MD,6/30/2022,55.60%
MD,7/31/2022,66.20%
MD,8/31/2022,58.20%
MD,9/30/2022,49.10%
MD,10/31/2022,47.60%
MD,11/30/2022,44.10%
MD,12/31/2022,57.50%
MD,1/31/2023,68.00%
MD,2/28/2023,52.10%
MD,3/31/2023,57.70%
MD,4/30/2023,72.40%
MD,5/31/2023,71.30%
MD,6/30/2023,78.40%
MD,7/31/2023,74.90%
MD,8/31/2023,63.60%
MD,9/30/2023,62.80%
MD,10/31/2023,59.80%
MD,11/30/2023,62.80%
MD,12/31/2023,64.10%
MD,1/31/2024,73.30%
MD,2/29/2024,63.80%
MD,3/31/2024,54.10%
MD,4/30/2024,61.50%
MD,5/31/2024,59.40%
MD,6/30/2024,67.10%
MD,7/31/2024,66.70%
MD,8/31/2024,63.80%
MD,9/30/2024,57.70%
MD,10/31/2024,59.10%
MD,11/30/2024,61.90%
MD,12/31/2024,66.30%
MD,1/31/2025,72.70%
MD,2/28/2025,64.70%
MD,3/31/2025,63.80%
MD,4/30/2025,68.40%
MD,5/31/2025,72.40%
MD,6/30/2025,76.00%
MD,7/31/2025,70.80%
AL,1/31/2020,92.40%
AL,2/29/2020,96.10%
AL,3/31/2020,98.90%
AL,4/30/2020,89.80%
AL,5/31/2020,63.70%
AL,6/30/2020,72.40%
AL,7/31/2020,76.40%
AL,8/31/2020,61.40%
AL,9/30/2020,53.20%
AL,10/31/2020,60.30%
AL,11/30/2020,45.30%
AL,12/31/2020,48.60%
AL,1/31/2021,67.00%
AL,2/28/2021,61.00%
AL,3/31/2021,60.80%
AL,4/30/2021,77.70%
AL,5/31/2021,53.00%
AL,6/30/2021,48.60%
AL,7/31/2021,54.80%
AL,8/31/2021,27.60%
AL,9/30/2021,23.80%
AL,10/31/2021,33.50%
AL,11/30/2021,33.30%
AL,12/31/2021,34.20%
AL,1/31/2022,45.00%
AL,2/28/2022,29.30%
AL,3/31/2022,29.80%
AL,4/30/2022,40.20%
AL,5/31/2022,27.30%
AL,6/30/2022,54.00%
AL,7/31/2022,49.60%
AL,8/31/2022,41.10%
AL,9/30/2022,36.00%
AL,10/31/2022,37.70%
AL,11/30/2022,44.00%
AL,12/31/2022,46.30%
AL,1/31/2023,52.40%
AL,2/28/2023,21.90%
AL,3/31/2023,34.50%
AL,4/30/2023,35.50%
AL,5/31/2023,43.30%
AL,6/30/2023,43.10%
AL,7/31/2023,52.10%
AL,8/31/2023,40.60%
AL,9/30/2023,22.40%
AL,10/31/2023,27.10%
AL,11/30/2023,33.90%
AL,12/31/2023,23.60%
AL,1/31/2024,45.80%
AL,2/29/2024,26.30%
AL,3/31/2024,23.40%
AL,4/30/2024,31.40%
AL,5/31/2024,32.60%
AL,6/30/2024,34.90%
AL,7/31/2024,37.30%
AL,8/31/2024,22.00%
AL,9/30/2024,33.40%
AL,10/31/2024,38.40%
AL,11/30/2024,34.80%
AL,12/31/2024,57.20%
AL,1/31/2025,73.00%
AL,2/28/2025,63.00%
AL,3/31/2025,66.00%
AL,4/30/2025,74.80%
AL,5/31/2025,72.50%
AL,6/30/2025,70.00%
AL,7/31/2025,72.60%
AL,8/31/2025,66.20%
AK,1/31/2020,92.80%
AK,2/29/2020,90.80%
AK,3/31/2020,92.50%
AK,4/30/2020,90.20%
AK,5/31/2020,91.90%
AK,6/30/2020,91.90%
AK,7/31/2020,92.30%
AK,8/31/2020,94.50%
AK,9/30/2020,95.60%
AK,10/31/2020,94.80%
AK,11/30/2020,88.80%
AK,12/31/2020,90.30%
AK,1/31/2021,93.90%
AK,2/28/2021,92.50%
AK,3/31/2021,95.80%
AK,4/30/2021,94.70%
AK,5/31/2021,94.50%
AK,6/30/2021,95.30%
AK,7/31/2021,95.60%
AK,8/31/2021,95.00%
AK,9/30/2021,95.70%
AK,10/31/2021,95.50%
AK,11/30/2021,94.00%
AK,12/31/2021,92.00%
AK,1/31/2022,92.80%
AK,2/28/2022,92.20%
AK,3/31/2022,93.10%
AK,4/30/2022,95.00%
AK,5/31/2022,86.70%
AK,6/30/2022,88.60%
AK,7/31/2022,91.70%
AK,8/31/2022,93.50%
AK,9/30/2022,94.20%
AK,10/31/2022,94.40%
AK,11/30/2022,91.40%
AK,12/31/2022,90.30%
AK,1/31/2023,93.20%
AK,2/28/2023,93.50%
AK,3/31/2023,92.60%
AK,4/30/2023,92.90%
AK,5/31/2023,94.40%
AK,6/30/2023,93.30%
AK,7/31/2023,91.40%
AK,8/31/2023,90.90%
AK,9/30/2023,92.20%
AK,10/31/2023,88.10%
AK,11/30/2023,86.90%
AK,12/31/2023,72.80%
AK,1/31/2024,71.40%
AK,2/29/2024,78.50%
AK,3/31/2024,81.60%
AK,4/30/2024,82.00%
AK,5/31/2024,77.20%
AK,6/30/2024,73.60%
AK,7/31/2024,78.50%
AK,8/31/2024,82.50%
AK,9/30/2024,82.00%
AK,10/31/2024,77.30%
AK,11/30/2024,71.60%
AK,12/31/2024,68.10%
AK,1/31/2025,65.60%
AK,2/28/2025,64.40%
AK,3/31/2025,72.60%
AK,4/30/2025,41.60%
AK,5/31/2025,95.80%
AK,6/30/2025,94.50%
AK,7/31/2025,95.00%
AK,8/31/2025,89.20%
